,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
134338,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Elementary ,,,,,1.0,,,KINDERGARTEN ,50471.81,KINDERGARTEN,General Fund,
206341,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRACTOR SERVICES,BOND EXPENDITURES,BUILDING FUND,(blank),Regular,,,,,RGN  GOB,,UNDESIGNATED,3477.86,BUILDING IMPROVEMENT SERVICES,,BUILDING IMPROVEMENT SERVICES
326408,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER 2ND GRADE,,Regular Instruction,,,1.0,,,TEACHER,62237.13000000001,Instruction - Regular,General Purpose School,
364634,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,22.3,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
47683,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Secondary (High) ",Alternative,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,54.166,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
229958,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Custodian - PT -  Jobs ,,,,,,NON-PROJECT,,UNDESIGNATED,-8.149999999999999,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
417668,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,EDUCATIONAL,SPECIAL EDUCATION INSTRUCTION,LOCAL,,,,,,,,,SUPPLIES AND MATERIALS,2000.05,SPECIAL EDUCATION LOCAL,LOCAL FUND,
126378,Food Services,O&M,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Sub Manager, Food Service ",,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,0.72,UNDESIGNATED,,UNDESIGNATED
275539,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,228.25,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
85262,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,69.55999999999999,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
304569,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EQUIPMENT *,,Support Services - Administration,,,,Equipment *,,,State and Federal Projects Coordination Services*,,,-5509.32,,School to Work,ITEMAI-CITY-YTH EMP & OPP 
330504,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,16.41,PRIMARY GRADES PROGRAM ,General Fund,
84272,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER P E (ELEM POSITION CONTROL POOL),,Regular Instruction,,,0.6,,POSITION CONTROL POOLS,TEACHER,38824.79,Instruction - Regular,General Purpose School,
64760,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-122544.07,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I 
21870,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,CHARTER,0.0,BASIC (FEFP K-12)             ,,,228.53,,CONVERSION CHARTER SCHOOLS    ,
